patient_id,first_name,last_name,dob,gender,race,address,city,state,zip,phone,ssn,insurance_id,insurer,blood_type,created_at
a8dc2ffa-704c-4360-8a75-454d5d73093c,Sarah,Romero,1976-07-07,F,Other,4997 Sean Orchard,Martinside,GA,49942,853.439.6360x576,508-05-2069,INS-Cg8951HD,Humana,A+,2016-07-09 21:43:51
a7c661e2-5b49-4247-af5f-5927acee1dff,Robert,Pena,1949-11-17,Unknown,White,74596 Melissa Walk,Finleyfort,NC,71413,3919343161,171-89-4907,INS-sw0050xB,Humana,AB-,2018-09-27 01:52:20
63783d28-d41d-4104-87e1-96052af2c526,Amanda,Knight,1963-06-30,M,Asian,21969 Tyler Prairie,East Steven,PA,33790,840.674.8217x594,468-39-3264,INS-yK6713wK,UnitedHealth,O-,2021-04-18 00:37:11
df107aac-87e8-41e9-b86b-c93ecafb3f57,Kenneth,Spence,2025-06-06,M,Asian,0909 Wall Heights Apt. 953,New John,NC,99536,001-821-404-7095x2145,206-17-8838,INS-kq5884EZ,UnitedHealth,A-,2021-04-13 11:36:50
ff0e1e84-b577-4e48-b6de-7b5f73b0ed0d,Linda,Mcdonald,1976-05-10,Unknown,Asian,36851 Smith Plain,South Miguelview,NC,77120,(651)837-0985x9317,120-18-0743,INS-gp0471Ii,Cigna,B+,2022-11-15 11:59:52
d8b674a2-8136-4333-9991-b845b0d2eedb,Nathan,Avery,1991-12-31,F,Black,261 Gilbert Harbors Apt. 537,Sampsonstad,NC,13523,+1-258-750-6431x71390,250-17-9251,INS-Ln3183ov,BlueCross,AB-,2018-10-09 09:48:16
cb5ceef9-2dc1-42ed-8625-ee1a1edb0539,Aaron,Garrison,2011-05-16,F,White,84210 Alexis Turnpike,New Mario,CA,23339,302-968-1177x589,516-29-0711,INS-dE8470zB,Medicare,AB+,2018-02-05 09:21:56
c8d7adc8-aa9a-499e-926f-8a898ca067e3,Jennifer,Wallace,1996-12-25,M,White,9212 Weber Prairie,Oscarhaven,FL,39153,789.961.1836x736,409-54-1558,INS-xj5654RE,Aetna,A-,2017-05-27 16:34:34
489b1c07-04e1-4a21-b3ff-11808e48c244,Marie,Davis,1942-09-03,Unknown,Hispanic,528 Brenda Points,Elizabethchester,CA,46847,+1-360-749-4519x83273,866-72-6023,INS-ZB1493JX,UnitedHealth,B+,2025-09-24 23:58:55
dc7ec0b4-fc9b-422f-8cf6-d5c788036000,Chelsea,Barrett,1933-10-31,Unknown,Hispanic,24455 Howard Divide Suite 120,Lake Alyssafurt,NC,55529,252.354.5991x022,279-57-6948,INS-rn7976WG,UnitedHealth,AB+,2018-03-13 18:37:40
dd944c12-a894-4af5-af1c-408ea7acbfaa,Russell,Campbell,1977-03-27,Unknown,Other,403 Joyce Centers Apt. 343,Port Jonathan,PA,43508,707-362-2683,407-95-0694,INS-uK6071BK,Cigna,B-,2023-02-21 12:50:33
1b2a3612-424d-49ce-b023-7b7b9d598a48,Robert,Wilson,2017-05-19,Unknown,Asian,2975 Samuel Coves,South Brianna,PA,69177,364-553-5218,795-45-5753,INS-qm2312lM,Medicare,O-,2018-11-11 10:31:33
d07b201f-dd50-42a2-9ec5-cbc508780073,Charles,Bean,2019-06-22,Unknown,Hispanic,9979 Lin Road Suite 271,Ramosport,CA,36503,001-205-781-4770,852-37-1258,INS-yD1998LJ,Cigna,B-,2016-12-16 10:40:53
4ade53ca-edf0-45df-9102-f62561fc5762,Regina,Armstrong,1991-06-20,M,Asian,9782 Shannon Valleys,Toniland,TX,66633,+1-820-837-7889x2554,794-44-9796,INS-gJ0515Ry,Cigna,B-,2021-02-04 03:59:59
d1a0eb3d-b2ab-4ea5-8a03-56d538aa4799,Jennifer,Douglas,1964-07-21,M,White,1925 Ponce Square,Andersonland,TX,41078,+1-265-728-1685,317-24-3510,INS-ij5733es,Cigna,A-,2017-12-25 00:08:05
8d94df5b-84d6-4a4f-b19b-101cff17e533,Kelli,Conley,1999-05-10,M,Asian,592 Moore Falls,Lake Samuel,CA,54353,(737)994-7383x473,473-99-4617,INS-km6886ZM,Cigna,AB+,2018-08-13 12:24:57
ee6c1731-5e5a-40ea-85cf-2c3f5738ba12,Brett,Castillo,1964-04-13,Unknown,Hispanic,181 Miller Estates Suite 782,Davisbury,FL,59631,(206)706-8536x153,102-92-5494,INS-ES2204iW,UnitedHealth,O-,2024-03-29 11:42:15
17573b41-b657-4ccf-8b94-31223926d86d,Christina,Bullock,1991-04-25,M,Hispanic,3289 Rodriguez Heights,West David,PA,31753,(897)211-7980x89324,630-46-3942,INS-Hx9621eH,Cigna,A-,2025-07-08 08:18:50
1db2aa36-03ee-4803-af75-1847c556795e,Kristin,Romero,1999-04-22,M,Hispanic,7065 Burgess Knolls,West Johnville,OH,76772,001-952-205-8527x7221,301-26-0718,INS-Gz3054IE,Medicaid,O+,2020-07-27 13:49:05
c090a416-192b-422c-bc69-ba8539395d25,Karen,Lee,1935-03-30,F,White,54156 Paul Lights Suite 277,Sandrahaven,CA,35460,361-369-2845,336-85-4844,INS-kS4796Cw,BlueCross,O+,2023-11-13 21:44:21
38526f3c-3141-4178-b1bb-c4f281248d53,Jessica,Buck,1936-01-09,Unknown,Asian,0165 Stephanie Divide Suite 021,Port Deanna,CA,47968,(790)892-7557x1928,322-84-4567,INS-FH3102yJ,Cigna,B-,2018-04-07 06:43:27
9c5cca4c-a752-4533-9bad-2b97cc9ca3dc,Kimberly,Padilla,1965-11-19,M,Other,473 Derek Cliffs,Thompsonmouth,GA,12007,+1-555-418-8442x25831,243-64-0431,INS-DZ5895Ji,UnitedHealth,O+,2017-09-23 06:18:57
8a9d2942-c871-41f7-aae6-21e659af85f0,Kyle,Key,1939-03-17,M,Asian,669 David Island Apt. 778,Davidside,GA,84360,001-622-468-0182,166-42-3695,INS-qm5841OJ,Cigna,A-,2020-12-05 22:02:08
ccb99249-e0d7-4e7b-8692-5a0402de476d,Colleen,Mendez,1947-04-18,F,Other,299 George Road,Meganshire,CA,05900,2109943969,643-70-4746,INS-tD4736eS,BlueCross,A+,2017-04-12 19:48:39
e577a54a-d58d-46c1-a6e1-28fe75a274d6,Scott,Washington,1951-10-10,M,Black,9255 Hester Curve,Zacharyville,NY,42328,671.847.3210,885-79-6851,INS-Uu3259mW,Medicaid,O-,2018-12-21 15:47:39
7372e2df-5b8c-4160-8484-98f9c04f4004,Wendy,Owens,1998-01-26,F,Black,0168 Levy Forge Suite 004,Harperfort,PA,37954,+1-201-862-4565,053-73-9205,INS-ey3584GC,BlueCross,B+,2025-08-13 05:33:51
2fd85ce3-e2f2-48f9-b109-22256ab8b41f,Marcia,Hanson,1968-04-29,F,White,16558 Fischer Flat,Porterton,PA,05601,(757)787-2982,167-51-4903,INS-IF9588TK,Humana,O-,2021-05-12 08:56:27
1112c12e-2b4f-429b-9473-cbe867c78a99,Lisa,Richardson,1994-11-22,F,Hispanic,9409 Baker Shoal,Lake Brett,NC,63474,(589)262-3091,452-41-6862,INS-GX2636NE,Self-Pay,B+,2017-04-27 12:59:23
80d84c40-e811-40b2-be7c-a946e2e04383,April,Hoffman,1949-01-19,M,Asian,652 Barr Junctions Suite 497,East Joshua,FL,39625,644.637.5758,125-74-8900,INS-sc6652sT,BlueCross,A+,2017-08-09 14:39:16
72951927-ee50-4719-b642-61df02f4e122,Sandra,Douglas,1977-05-25,Unknown,Asian,38484 Daniel Streets Apt. 308,Lake Jesse,TX,13634,(657)212-0826x77345,788-12-9407,INS-Al3802cz,BlueCross,O-,2024-09-08 17:55:57
308e5902-ff67-4768-92d5-f777883e6668,Sharon,Hayden,1955-08-13,Unknown,Other,04991 Mitchell Row Suite 287,Jamesville,NY,43844,(474)820-5493,847-55-8443,INS-li5161Eu,BlueCross,A-,2020-06-24 20:23:36
cce997bf-1eb0-4f64-a507-b9c06471ee4f,Jose,Young,1931-03-10,M,White,4990 Valdez Square Apt. 017,Erikhaven,MI,92717,001-841-945-9332x72795,776-69-3579,INS-CH3918Tx,Aetna,B-,2017-08-03 20:27:09
2c27e293-48b5-47b2-912d-6eff3a50ca56,Daniel,Poole,2007-01-15,F,White,822 Bond Mills,Lake Jamieshire,MI,64572,287-907-2867,689-40-0357,INS-Le6403cB,Cigna,A+,2022-02-14 08:47:58
02606737-573b-4ecb-a3c9-d1ae7fc9ef3f,Bryce,Mcknight,2025-07-31,Unknown,White,0462 Katie Stream,Brooksfurt,PA,59291,(261)282-5128x6823,306-60-8921,INS-pD6863wj,Medicare,AB+,2020-12-13 08:47:54
ca2b0129-1ed6-4eba-8b39-d8954384886d,Sharon,Hardy,1955-11-29,M,Asian,69033 Craig Bypass,Harperton,FL,32578,001-706-773-8302x8439,243-39-2348,INS-rd8364JL,Humana,O+,2019-03-29 18:41:07
70ba151e-db96-4d55-8467-2258456b17c5,Erika,Peters,2015-06-16,M,Asian,6856 Hernandez Lane,Port Amanda,GA,32085,442.870.8668,249-33-3332,INS-fI5175Um,Medicare,A-,2017-02-19 18:37:49
20eaf24d-4330-440e-8bf6-8a126162e8ca,Nicholas,Jacobs,1966-10-18,M,Hispanic,39837 Molly Isle,Susantown,MI,28263,717.639.3638,390-60-8744,INS-GF5445Dg,Aetna,A-,2024-03-31 20:25:02
cec9077d-8e70-4c96-a865-99da1b298d1b,Robin,Wood,1973-11-03,Unknown,Black,93204 Phillips Flat Suite 369,South Andrea,NC,90265,247-377-2522x87280,838-86-0795,INS-eT0623ja,Humana,B+,2019-12-25 14:46:21
d7cfd1ce-31e8-4b35-8a35-e4237833a2d0,Stephen,Brown,1999-02-02,F,White,700 Smith Pines Suite 840,Drakeburgh,FL,14527,682-833-9845,081-48-6653,INS-tR7933fP,Medicare,AB+,2016-10-19 10:04:02
fdfbf860-a1d6-4f0d-b835-13758efad8de,Richard,Bennett,1942-12-25,M,Hispanic,02176 Knight Walks Apt. 803,Port Heather,NC,74790,440.814.8902x5039,079-39-2662,INS-RI9396vy,Humana,A+,2018-08-23 03:52:33
1b9fb222-131a-484c-8b77-777d47ed53e6,Jennifer,Mason,2024-01-27,Unknown,Other,16315 Novak Islands Apt. 477,West Angela,IL,49708,(829)761-9431x14262,370-14-1500,INS-Wr0475gi,Aetna,B+,2017-09-29 23:38:17
e4d7bc41-f6b5-45b6-9b16-1518d22e5dfd,Ryan,Hawkins,1955-10-06,F,White,01581 Shields Bridge Suite 661,New Adriana,CA,90326,(622)944-4721x2646,802-10-5917,INS-Nm4379Dg,UnitedHealth,AB+,2018-07-26 10:35:39
7db8cc60-97c0-4a7e-b1b9-754dd0b061ca,Adam,Foster,1971-09-21,F,Other,7569 Kevin Rapids Apt. 752,Novakport,FL,96822,001-479-235-6465x193,745-60-3435,INS-RF7416iO,Medicare,B-,2021-05-31 06:36:31
61499cd9-851e-4e66-b262-f2e496273973,Johnny,Moore,1963-03-13,Unknown,Asian,1797 Ferguson Ways Suite 805,North Kaylastad,NC,22303,+1-590-996-5610x1438,384-51-7587,INS-bE9825gs,Self-Pay,AB+,2023-05-04 07:40:58
0e27502d-b60b-4321-a301-aa669ad58a5d,Darren,Shepard,1941-12-10,M,White,4573 Bailey Court,Bowenmouth,PA,42301,440-410-5123,339-72-6986,INS-lO7362QB,Humana,A+,2022-12-28 14:27:06
ca613a2b-8c82-4a3b-9e38-9aec7acce8e6,Jo,Ware,1934-03-26,M,Asian,660 Jamie Terrace Apt. 918,West Mark,NY,60473,347-785-9696,361-59-2827,INS-Ri4991uh,Humana,B+,2020-04-26 23:28:31
28af6e57-d451-48e7-bcbc-398995ad4a17,Daryl,Brooks,1971-10-27,Unknown,Hispanic,669 Bailey Manors,South Cynthia,NC,91390,+1-228-927-4225x7905,140-25-6291,INS-RF8876AT,Medicaid,A+,2023-10-24 12:54:03
3715a8ce-86a2-441e-93df-610cd6430b5a,Gary,Cunningham,1996-10-08,M,White,0438 Jackson Mount,Dunnville,NY,75567,848-358-0783,754-84-4056,INS-wf4074Ch,BlueCross,AB-,2020-04-16 20:53:18
7a290ca4-bc46-4601-990b-306de8a35475,Lisa,Matthews,1958-10-28,Unknown,Other,962 Kristen Via Apt. 095,Candiceburgh,NY,42922,001-444-594-8126x042,150-92-5278,INS-KO3672rO,Medicaid,B+,2023-04-23 10:39:14
0acf4e57-4356-47e9-88ab-dd3b8d32b0a6,Shannon,Schultz,1981-04-26,M,Asian,8457 Murphy Alley,Lake Teresastad,OH,08801,+1-763-463-7454,580-63-5632,INS-bh0017kC,BlueCross,AB-,2024-01-11 05:51:02
d1a53f12-8b58-45a4-9823-626e9b7bc9b6,Victoria,Patterson,1930-05-08,M,Black,424 Diamond Glen,West Elizabethburgh,CA,07288,(943)261-1037x1293,009-90-5630,INS-eo1627yf,Medicare,O+,2018-01-01 23:58:42
b31ca07f-3122-4096-845f-3751b0a16e0c,Lawrence,Ibarra,1944-04-21,Unknown,Black,2218 Chelsey Expressway,Bellborough,FL,82824,001-826-797-3112x1965,811-18-4060,INS-MM4138UM,UnitedHealth,B+,2021-02-08 23:24:06
f33bc4b1-7bc1-42dd-999b-8b319b563557,Anthony,Boone,2024-03-25,F,White,89836 Lucas Tunnel Apt. 761,South Danielle,NY,09808,305.252.6965x82710,269-28-0653,INS-OT0684GX,Medicare,O+,2023-04-30 22:38:24
165f185c-301f-4515-926b-0f32274793f6,Jacqueline,Miller,1987-11-28,Unknown,Black,1418 Terri Drives,Peterland,IL,41155,001-663-403-1617x990,123-02-2249,INS-HH0275YU,UnitedHealth,A-,2020-09-02 10:38:27
bba4670d-dfc8-45a6-9db6-c42a1d99af9f,Nathan,Brady,1952-12-24,F,White,105 Nelson Circles Suite 917,Dixonton,GA,65985,001-225-224-1913,880-02-4007,INS-jl0756cJ,Cigna,B-,2023-05-25 09:48:54
82cbd346-aa2d-4bb1-b3cf-8a437a2d2343,Marc,Butler,1960-10-24,F,Asian,1951 Harry Unions Apt. 617,Kiaraport,IL,43400,587-905-3494,378-76-8084,INS-aA3832bo,Cigna,B-,2025-06-22 14:00:17
2c9e46ec-c5eb-49df-b7d3-58735c97c894,Cynthia,Steele,1977-05-28,M,Black,0641 Alyssa Freeway,Vasquezton,PA,19162,001-441-803-8657x191,077-76-9304,INS-sq0623uZ,Medicare,AB+,2022-12-12 06:16:51
30385639-3a17-4c48-a5c2-488af3ceb040,Marie,Nguyen,2025-08-17,M,Asian,3132 Eric Expressway Suite 756,New Michaelborough,OH,59734,574-711-2490x3521,406-66-0803,INS-zC4420JV,Medicaid,AB-,2025-08-14 20:54:17
9edda751-4daf-4604-91d3-00c5abe5c56f,Cody,Garcia,1964-04-06,M,White,00323 Watson Roads,New Brendaland,IL,03358,237-421-5107,588-56-6472,INS-lw7066nl,UnitedHealth,AB+,2020-12-09 05:11:06
7abdde3b-9898-4ef7-8b15-8e6ca5e6a67a,Sean,Hernandez,1968-05-06,M,White,476 Brown Harbors,Taylorborough,MI,84734,638.406.5787x59856,027-41-9784,INS-ZE3040Hw,Medicaid,AB-,2026-03-13 07:40:13
811eb290-586f-4826-90a5-868f6e05df06,Terri,Garcia,1961-12-08,Unknown,Asian,8039 Kelly Villages,East Joel,PA,42182,001-459-905-9929x3784,039-12-0921,INS-HE3930av,Aetna,O+,2019-09-09 09:28:37
592d2dee-2e1b-4d32-a8af-113fe93ad06c,Matthew,Thompson,1948-01-07,Unknown,Black,02921 Yu Landing Suite 915,Marcusburgh,IL,96491,(475)228-9539x26442,719-74-6416,INS-uZ9029No,BlueCross,O+,2025-11-18 17:53:49
8a87d72b-f0e3-4e89-8023-64e7f7e53e49,Sharon,Taylor,1944-06-05,M,Other,55215 Smith Fords,Lake Carlos,NC,34141,800-767-6267,560-49-1662,INS-Ce7932Zc,Cigna,AB-,2021-04-12 00:53:28
f100e185-aca1-4866-9bd3-af80e1f0c09c,Lucas,Lynn,1932-12-28,F,White,2621 Matthew Ridges,Bushchester,OH,86174,(896)620-1533,677-37-4873,INS-KJ3106Fj,Medicare,A-,2017-03-10 05:17:03
623c8f21-ac69-46e9-89a5-50c642c5c0e4,Adam,Miller,1979-05-14,Unknown,Asian,10324 Thomas Crescent Suite 677,Christopherside,NC,51294,(956)652-7047,232-35-9245,INS-Qw0211ZI,Humana,O+,2023-04-21 23:05:40
33312c49-7e54-47e3-ae36-c28b0e0ae32b,Jeremy,Brown,2010-07-09,F,Hispanic,687 Thomas Common Suite 089,North Stacy,IL,59357,(523)432-0616,855-77-4226,INS-Jz5116Ju,UnitedHealth,B-,2020-12-16 18:58:59
ede33f03-0ea9-4001-9261-cae1e43191d2,Stephen,Marks,2000-12-26,F,Hispanic,62299 Sara Port Apt. 485,Bakerfort,NY,75477,+1-770-524-6299x606,051-96-7786,INS-Yt4505tr,Humana,O+,2024-08-16 08:30:06
db40d296-ddd0-4c86-90da-0101131d1028,Gail,Compton,2025-01-03,Unknown,White,47546 Jacob Forest,Figueroahaven,IL,49510,2824148628,198-26-0945,INS-xT3070mr,Humana,B-,2022-07-12 09:33:06
75469cb0-60ae-4cc6-a62b-f9447c3e9a0f,William,Reid,1993-06-09,F,Other,035 Wheeler Fall,Matthewsstad,MI,45622,(541)540-6029,663-29-3388,INS-XX4680Ra,Medicare,O-,2024-04-29 11:25:49
765ca306-c65f-45e4-bbe8-20702207719c,Deborah,Burke,1948-04-07,F,Hispanic,49446 York Mount,Jefferyport,FL,89262,996.391.0858x99441,345-36-5328,INS-jH4443Wp,Self-Pay,B+,2017-03-24 07:47:01
d5d83982-b158-474e-8896-e728d56b1dc6,Richard,Flores,2011-12-03,Unknown,White,074 Meadows Lodge,Doyleshire,IL,93309,001-435-438-7584,301-13-7714,INS-Rv2482Pf,Medicare,A-,2020-01-16 13:46:36
d6c88b7f-3e1d-4e89-b2f1-303d8dd1ca1e,Jeffrey,Savage,1978-08-12,M,Asian,5494 York Mountains Apt. 999,South Pamelahaven,FL,16205,+1-768-446-0223x56972,798-11-7989,INS-aC5250rn,Cigna,B+,2019-02-17 05:14:38
afe594ab-85c2-43de-95ac-fdf3ad3065a8,Kathy,Burns,2008-09-08,M,White,96666 Reyes Camp,Lake Nathan,FL,02346,683-400-3354x21689,067-06-4886,INS-Hv4789BR,Self-Pay,A-,2018-07-15 21:03:27
44af5223-a37e-42d7-9a59-38dc8c5e1d31,Wendy,Henry,1976-11-26,F,Hispanic,60332 Jessica Radial,North Michael,MI,85768,2642890901,707-15-6829,INS-qE7618Sj,Cigna,O+,2019-10-04 10:33:13
1de90f30-2620-4b61-adc2-911d09ca646b,Gina,Smith,2024-11-15,F,Hispanic,184 Robert Cove Apt. 411,Gonzalezborough,FL,34972,235.364.2087x37530,114-74-8096,INS-UU2181gq,UnitedHealth,A+,2020-03-11 22:03:05
d86c92b1-2c40-4227-8cbd-1e39a9983455,Vanessa,Phillips,1992-06-03,M,Hispanic,12045 Simmons Crescent Apt. 002,West Michael,FL,57873,+1-941-855-2166x746,665-22-1853,INS-AL2021EZ,UnitedHealth,O-,2025-12-09 19:55:31
4c779435-9e76-48af-a6dc-784b266ea17f,Samuel,Carr,2022-08-03,M,Other,027 Rodriguez Loop Suite 014,Alexanderhaven,FL,97969,001-593-958-8916,355-85-6306,INS-aP2890kG,Aetna,O-,2024-03-30 14:22:11
2e3d2aaa-10b7-425d-8f31-f33e564d40af,Molly,Jones,1997-09-28,M,Hispanic,3540 Andrea Lane Suite 317,Solismouth,NC,12037,375.617.0166x0880,521-72-3390,INS-oD7550vJ,Medicare,O-,2024-04-23 11:44:22
c5a2e1c5-75ce-4c70-9ac9-6a1443e206f2,Michael,Chavez,2019-09-12,Unknown,Other,305 Gallegos Union,Amystad,PA,92526,502-572-6149,124-51-3533,INS-WA7351cO,Self-Pay,B+,2018-05-11 04:42:30
909297e7-4a3b-430f-aa22-af89e097179f,Stephen,Lawrence,1991-07-28,Unknown,Hispanic,0808 Roberson Orchard,Lake Beth,GA,96248,(516)699-5866,408-44-4820,INS-MS7226VG,Humana,B-,2021-05-06 22:05:18
9eeb23fc-913f-4fd9-b9db-14cd75faa7c6,Amy,Edwards,2025-09-24,Unknown,Asian,39452 William Square,Jenniferstad,NC,74200,299.268.4608x1062,205-35-2637,INS-SY4420sn,Self-Pay,B-,2025-06-20 06:21:44
06622262-252c-48d8-a8f8-588bd19f168a,Michael,Chavez,1934-08-27,F,Hispanic,863 Schwartz Causeway,Hughesmouth,CA,72869,5045397359,302-58-2907,INS-hy1228cB,Humana,B-,2021-01-03 21:09:57
801c0608-d6cb-40f4-9956-08dea202b27e,Joseph,Martin,2006-01-04,F,Asian,57202 Carlson Trail Suite 798,Charlesmouth,OH,69365,828.318.2688,358-29-3496,INS-nW5554NH,Aetna,B+,2024-05-04 04:46:02
87c3eda8-6148-4b1e-8b95-3430cecb688d,Madison,Zavala,2006-08-28,M,Black,57399 Susan Springs,Patrickville,PA,51078,584-708-5887x704,527-11-1573,INS-Oe2880nQ,UnitedHealth,B-,2019-11-21 03:54:38
7d2ac6b9-754c-439e-aca0-2a5ecabb4684,Roger,Garcia,2023-07-17,M,Hispanic,120 Love Camp Apt. 102,Angelashire,PA,30338,366-276-6506x180,718-10-5861,INS-Mf8144sW,Medicare,O-,2023-09-16 03:55:44
7fccb1bb-1727-4cca-8d8a-29200b7ed22c,Randall,Guerrero,1982-03-03,F,White,83268 Choi Divide Suite 508,North Bobby,FL,75568,+1-468-481-4353x682,227-79-4141,INS-dW3129JD,Medicaid,O+,2025-08-12 00:51:34
797977bc-a7f9-4795-b4ac-0d017dc609e3,Kelly,Jones,1940-03-19,Unknown,White,97552 Craig River,East Louismouth,MI,43537,+1-549-529-9556x205,730-95-7146,INS-ED4525Cw,Medicaid,O-,2021-06-16 16:11:12
7f20018f-7786-4c8b-8191-8f979a07883d,Andrea,Thompson,1996-07-14,M,Asian,2834 Jessica Brook,Port Bonniefurt,IL,77838,808.548.8725,791-76-4768,INS-fz2788xG,Medicaid,O+,2016-06-10 08:28:37
8dcdc1ca-85af-494d-9a22-5ee060e53822,John,Maynard,2020-06-12,Unknown,Other,272 Ashley Port,Lake Jessica,MI,47529,5377314530,398-61-7449,INS-TH0051Or,Cigna,O-,2020-09-27 17:28:10
